Nazwa zmiennej	Etykieta zmiennej	Etykieta zmiennej.1	Katalog	Katalog.1	Grupa zmiennych	Grupa zmiennych w innym języku	Ukryta	Waga (0/1)	Długość roku	Atrybuty (n)	atrybut pisma	atrybut wskaźnika	atrybut wskaźnika slcwwr	atrybut wskaźnika slcwwc	atrybut wartości wskaźnika	Grupa zakresu danych	Archiwum
UBRA_KUPIL	Czy w ciągu 30 dni kupił dla siebie ubrania, buty, dodatki	Czy w ciągu 30 dni kupił dla siebie ubrania, buty, dodatki	Aktywność konsumencka respondenta/Ubrania	Aktywność konsumencka respondenta/Ubrania	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
UBRA_WYDAL	Kwota przeznaczona na zakup ubrań, butów lub dodatków 	Kwota przeznaczona na zakup ubrań, butów lub dodatków 	Aktywność konsumencka respondenta/Ubrania	Aktywność konsumencka respondenta/Ubrania	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
KSIA_CZYT	Skończył czytać książkę w ciągu ostatniego tygodnia	Skończył czytać książkę w ciągu ostatniego tygodnia	Aktywność konsumencka respondenta/Kultura	Aktywność konsumencka respondenta/Kultura	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	zawsze_archiwum
KSIA_KUPIL	Kupił w ciągu tygodnia: książki	Kupił w ciągu tygodnia: książki	Aktywność konsumencka respondenta/Kultura	Aktywność konsumencka respondenta/Kultura	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
ROZR_TEAT	bilet do teatru, opery, na wystawę	bilet do teatru, opery, na wystawę	Aktywność konsumencka respondenta/Kultura/Kupił w ciągu 30 dni	Aktywność konsumencka respondenta/Kultura/Kupił w ciągu 30 dni	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	0
ROZR_KINO	bilet do kina	bilet do kina	Aktywność konsumencka respondenta/Kultura/Kupił w ciągu 30 dni	Aktywność konsumencka respondenta/Kultura/Kupił w ciągu 30 dni	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	0
ROZR_GRAK	gra komputerowa	gra komputerowa	Aktywność konsumencka respondenta/Kultura/Kupił w ciągu 30 dni	Aktywność konsumencka respondenta/Kultura/Kupił w ciągu 30 dni	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	zawsze_archiwum
TUR_CZY	Czy w ciągu 12 miesięcy wyjeżdżał turystycznie, wypoczynkowo	Czy w ciągu 12 miesięcy wyjeżdżał turystycznie, wypoczynkowo	Aktywność konsumencka respondenta/Turystyka	Aktywność konsumencka respondenta/Turystyka	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
TUR_DZIA	Dokąd wyjeżdżał turystycznie: na działkę	Dokąd wyjeżdżał turystycznie: na działkę	Aktywność konsumencka respondenta/Turystyka	Aktywność konsumencka respondenta/Turystyka	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
TUR_RKRA	Dokąd wyjeżdżał turystycznie: do rodziny/krewnych/przyjaciół w kraju	Dokąd wyjeżdżał turystycznie: do rodziny/krewnych/przyjaciół w kraju	Aktywność konsumencka respondenta/Turystyka	Aktywność konsumencka respondenta/Turystyka	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	zawsze_archiwum
